source,url,method,status,ok,final_url,redirected,elapsed_ms,content_type,server,powered_by,error
sitemap.xml,http://www.iryou-map.co.jp/info/news.php?201110,HEAD,200,True,http://www.iryou-map.co.jp/info/news.php?201110,False,84,text/html,Apache,PHP/5.2.4,
sitemap.xml,http://www.iryou-map.co.jp/info/news.php?201111,HEAD,200,True,http://www.iryou-map.co.jp/info/news.php?201111,False,120,text/html,Apache,PHP/5.2.4,
sitemap.xml,http://www.iryou-map.co.jp/info/news.php?201112,HEAD,200,True,http://www.iryou-map.co.jp/info/news.php?201112,False,125,text/html,Apache,PHP/5.2.4,
sitemap.xml,http://www.iryou-map.co.jp/info/news.php?201201,HEAD,200,True,http://www.iryou-map.co.jp/info/news.php?201201,False,133,text/html,Apache,PHP/5.2.4,
sitemap.xml,http://www.iryou-map.co.jp/info/news.php?201202,HEAD,200,True,http://www.iryou-map.co.jp/info/news.php?201202,False,129,text/html,Apache,PHP/5.2.4,
sitemap.xml,http://www.iryou-map.co.jp/info/news.php?201203,HEAD,200,True,http://www.iryou-map.co.jp/info/news.php?201203,False,113,text/html,Apache,PHP/5.2.4,
sitemap.xml,http://www.iryou-map.co.jp/info/news.php?201204,HEAD,200,True,http://www.iryou-map.co.jp/info/news.php?201204,False,123,text/html,Apache,PHP/5.2.4,
sitemap.xml,http://www.iryou-map.co.jp/info/news.php?201205,HEAD,200,True,http://www.iryou-map.co.jp/info/news.php?201205,False,169,text/html,Apache,PHP/5.2.4,
sitemap.xml,http://www.iryou-map.co.jp/info/news.php?201206,HEAD,200,True,http://www.iryou-map.co.jp/info/news.php?201206,False,123,text/html,Apache,PHP/5.2.4,
sitemap.xml,http://www.iryou-map.co.jp/info/news.php?201207,HEAD,200,True,http://www.iryou-map.co.jp/info/news.php?201207,False,279,text/html,Apache,PHP/5.2.4,
sitemap.xml,http://www.iryou-map.co.jp/irigaikementaru-c.htm,HEAD,200,True,http://www.iryou-map.co.jp/irigaikementaru-c.htm,False,49,text/html,Apache,,
sitemap.xml,http://www.iryou-map.co.jp/isomurasika.htm,HEAD,404,False,http://www.iryou-map.co.jp/isomurasika.htm,False,50,text/html; charset=iso-8859-1,Apache,,HTTPError: HTTP Error 404: Not Found
sitemap.xml,http://www.iryou-map.co.jp/ito-bs.html,HEAD,200,True,http://www.iryou-map.co.jp/ito-bs.html,False,3761,text/html,Apache,PHP/5.2.4,
sitemap.xml,http://www.iryou-map.co.jp/jobinfo/,HEAD,200,True,http://www.iryou-map.co.jp/jobinfo/,False,267,text/html,Apache,PHP/5.2.4,
sitemap.xml,http://www.iryou-map.co.jp/matsumotonaika.html,HEAD,200,True,http://www.iryou-map.co.jp/matsumotonaika.html,False,537,text/html,Apache,PHP/5.2.4,
sitemap.xml,http://www.iryou-map.co.jp/mituidental.htm,HEAD,200,True,http://www.iryou-map.co.jp/mituidental.htm,False,50,text/html,Apache,,
sitemap.xml,http://www.iryou-map.co.jp/murase-shika.htm,HEAD,200,True,http://www.iryou-map.co.jp/murase-shika.htm,False,79,text/html,Apache,,
sitemap.xml,http://www.iryou-map.co.jp/nakahana.html,HEAD,404,False,http://www.iryou-map.co.jp/nakahana.html,False,111,text/html,Apache,PHP/5.2.4,HTTPError: HTTP Error 404: Not Found
sitemap.xml,http://www.iryou-map.co.jp/nishikawa-shika.htm,HEAD,404,False,http://www.iryou-map.co.jp/nishikawa-shika.htm,False,79,text/html; charset=iso-8859-1,Apache,,HTTPError: HTTP Error 404: Not Found
sitemap.xml,http://www.iryou-map.co.jp/nobdentalspace.htm,HEAD,200,True,http://www.iryou-map.co.jp/nobdentalspace.htm,False,76,text/html,Apache,,
sitemap.xml,http://www.iryou-map.co.jp/nozakishika.htm,HEAD,404,False,http://www.iryou-map.co.jp/nozakishika.htm,False,51,text/html; charset=iso-8859-1,Apache,,HTTPError: HTTP Error 404: Not Found
sitemap.xml,http://www.iryou-map.co.jp/ogawa-shika.htm,HEAD,200,True,http://www.iryou-map.co.jp/ogawa-shika.htm,False,67,text/html,Apache,,
sitemap.xml,http://www.iryou-map.co.jp/publish/,HEAD,200,True,http://www.iryou-map.co.jp/publish/,False,822,text/html,Apache,PHP/5.2.4,
sitemap.xml,http://www.iryou-map.co.jp/rssinfo/,HEAD,200,True,http://www.iryou-map.co.jp/rssinfo/,False,267,text/html,Apache,PHP/5.2.4,
sitemapmobile.xml,http://www.iryou-map.co.jp/s/#holiday,HEAD,200,True,http://www.iryou-map.co.jp/,True,149,text/html,Apache,PHP/5.2.4,
sitemapmobile.xml,http://www.iryou-map.co.jp/s/#photogallery,HEAD,200,True,http://www.iryou-map.co.jp/,True,155,text/html,Apache,PHP/5.2.4,
sitemapmobile.xml,http://www.iryou-map.co.jp/s/gallery.php?st=g&sa[]=1,HEAD,200,True,http://www.iryou-map.co.jp/s/gallery.php?st=g&sa[]=1,False,6016,text/html; charset=UTF-8,Apache,PHP/5.2.4,
sitemapmobile.xml,http://www.iryou-map.co.jp/s/gallery.php?st=g&sa[]=10,HEAD,200,True,http://www.iryou-map.co.jp/s/gallery.php?st=g&sa[]=10,False,5967,text/html; charset=UTF-8,Apache,PHP/5.2.4,
sitemapmobile.xml,http://www.iryou-map.co.jp/s/gallery.php?st=g&sa[]=101,HEAD,200,True,http://www.iryou-map.co.jp/s/gallery.php?st=g&sa[]=101,False,5768,text/html; charset=UTF-8,Apache,PHP/5.2.4,
sitemapmobile.xml,http://www.iryou-map.co.jp/s/gallery.php?st=g&sa[]=103,HEAD,200,True,http://www.iryou-map.co.jp/s/gallery.php?st=g&sa[]=103,False,5651,text/html; charset=UTF-8,Apache,PHP/5.2.4,
sitemapmobile.xml,http://www.iryou-map.co.jp/s/gallery.php?st=g&sa[]=104,HEAD,200,True,http://www.iryou-map.co.jp/s/gallery.php?st=g&sa[]=104,False,5530,text/html; charset=UTF-8,Apache,PHP/5.2.4,
sitemapmobile.xml,http://www.iryou-map.co.jp/s/gallery.php?st=g&sa[]=11,HEAD,200,True,http://www.iryou-map.co.jp/s/gallery.php?st=g&sa[]=11,False,6128,text/html; charset=UTF-8,Apache,PHP/5.2.4,
sitemapmobile.xml,http://www.iryou-map.co.jp/s/gallery.php?st=g&sa[]=12,HEAD,200,True,http://www.iryou-map.co.jp/s/gallery.php?st=g&sa[]=12,False,6131,text/html; charset=UTF-8,Apache,PHP/5.2.4,
sitemapmobile.xml,http://www.iryou-map.co.jp/s/gallery.php?st=g&sa[]=13,HEAD,200,True,http://www.iryou-map.co.jp/s/gallery.php?st=g&sa[]=13,False,6111,text/html; charset=UTF-8,Apache,PHP/5.2.4,
sitemapmobile.xml,http://www.iryou-map.co.jp/s/gallery.php?st=g&sa[]=14,HEAD,200,True,http://www.iryou-map.co.jp/s/gallery.php?st=g&sa[]=14,False,6106,text/html; charset=UTF-8,Apache,PHP/5.2.4,
sitemapmobile.xml,http://www.iryou-map.co.jp/s/gallery.php?st=g&sa[]=15,HEAD,200,True,http://www.iryou-map.co.jp/s/gallery.php?st=g&sa[]=15,False,6006,text/html; charset=UTF-8,Apache,PHP/5.2.4,
sitemapmobile.xml,http://www.iryou-map.co.jp/s/gallery.php?st=g&sa[]=152,HEAD,200,True,http://www.iryou-map.co.jp/s/gallery.php?st=g&sa[]=152,False,5405,text/html; charset=UTF-8,Apache,PHP/5.2.4,
sitemapmobile.xml,http://www.iryou-map.co.jp/s/gallery.php?st=g&sa[]=16,HEAD,200,True,http://www.iryou-map.co.jp/s/gallery.php?st=g&sa[]=16,False,6066,text/html; charset=UTF-8,Apache,PHP/5.2.4,
sitemapmobile.xml,http://www.iryou-map.co.jp/s/gallery.php?st=g&sa[]=2,HEAD,200,True,http://www.iryou-map.co.jp/s/gallery.php?st=g&sa[]=2,False,5842,text/html; charset=UTF-8,Apache,PHP/5.2.4,
sitemapmobile.xml,http://www.iryou-map.co.jp/s/gallery.php?st=g&sa[]=20,HEAD,200,True,http://www.iryou-map.co.jp/s/gallery.php?st=g&sa[]=20,False,6019,text/html; charset=UTF-8,Apache,PHP/5.2.4,
sitemapmobile.xml,http://www.iryou-map.co.jp/s/gallery.php?st=g&sa[]=21,HEAD,200,True,http://www.iryou-map.co.jp/s/gallery.php?st=g&sa[]=21,False,5934,text/html; charset=UTF-8,Apache,PHP/5.2.4,
sitemapmobile.xml,http://www.iryou-map.co.jp/s/gallery.php?st=g&sa[]=22,HEAD,200,True,http://www.iryou-map.co.jp/s/gallery.php?st=g&sa[]=22,False,6040,text/html; charset=UTF-8,Apache,PHP/5.2.4,
sitemapmobile.xml,http://www.iryou-map.co.jp/s/gallery.php?st=g&sa[]=23,HEAD,200,True,http://www.iryou-map.co.jp/s/gallery.php?st=g&sa[]=23,False,5948,text/html; charset=UTF-8,Apache,PHP/5.2.4,
sitemapmobile.xml,http://www.iryou-map.co.jp/s/gallery.php?st=g&sa[]=24,HEAD,200,True,http://www.iryou-map.co.jp/s/gallery.php?st=g&sa[]=24,False,5831,text/html; charset=UTF-8,Apache,PHP/5.2.4,
sitemapmobile.xml,http://www.iryou-map.co.jp/s/gallery.php?st=g&sa[]=25,HEAD,200,True,http://www.iryou-map.co.jp/s/gallery.php?st=g&sa[]=25,False,5699,text/html; charset=UTF-8,Apache,PHP/5.2.4,
sitemapmobile.xml,http://www.iryou-map.co.jp/s/gallery.php?st=g&sa[]=27,HEAD,200,True,http://www.iryou-map.co.jp/s/gallery.php?st=g&sa[]=27,False,5851,text/html; charset=UTF-8,Apache,PHP/5.2.4,
sitemapmobile.xml,http://www.iryou-map.co.jp/s/gallery.php?st=g&sa[]=28,HEAD,200,True,http://www.iryou-map.co.jp/s/gallery.php?st=g&sa[]=28,False,5646,text/html; charset=UTF-8,Apache,PHP/5.2.4,
sitemapmobile.xml,http://www.iryou-map.co.jp/s/gallery.php?st=g&sa[]=29,HEAD,200,True,http://www.iryou-map.co.jp/s/gallery.php?st=g&sa[]=29,False,5786,text/html; charset=UTF-8,Apache,PHP/5.2.4,
sitemapmobile.xml,http://www.iryou-map.co.jp/s/gallery.php?st=g&sa[]=3,HEAD,200,True,http://www.iryou-map.co.jp/s/gallery.php?st=g&sa[]=3,False,5923,text/html; charset=UTF-8,Apache,PHP/5.2.4,
sitemapmobile.xml,http://www.iryou-map.co.jp/s/gallery.php?st=g&sa[]=31,HEAD,200,True,http://www.iryou-map.co.jp/s/gallery.php?st=g&sa[]=31,False,5682,text/html; charset=UTF-8,Apache,PHP/5.2.4,
sitemapmobile.xml,http://www.iryou-map.co.jp/s/gallery.php?st=g&sa[]=33,HEAD,200,True,http://www.iryou-map.co.jp/s/gallery.php?st=g&sa[]=33,False,5837,text/html; charset=UTF-8,Apache,PHP/5.2.4,
sitemapmobile.xml,http://www.iryou-map.co.jp/s/gallery.php?st=g&sa[]=35,HEAD,200,True,http://www.iryou-map.co.jp/s/gallery.php?st=g&sa[]=35,False,5528,text/html; charset=UTF-8,Apache,PHP/5.2.4,
sitemapmobile.xml,http://www.iryou-map.co.jp/s/gallery.php?st=g&sa[]=36,HEAD,200,True,http://www.iryou-map.co.jp/s/gallery.php?st=g&sa[]=36,False,5639,text/html; charset=UTF-8,Apache,PHP/5.2.4,
sitemapmobile.xml,http://www.iryou-map.co.jp/s/gallery.php?st=g&sa[]=37,HEAD,200,True,http://www.iryou-map.co.jp/s/gallery.php?st=g&sa[]=37,False,5642,text/html; charset=UTF-8,Apache,PHP/5.2.4,
sitemapmobile.xml,http://www.iryou-map.co.jp/s/gallery.php?st=g&sa[]=39,HEAD,200,True,http://www.iryou-map.co.jp/s/gallery.php?st=g&sa[]=39,False,5613,text/html; charset=UTF-8,Apache,PHP/5.2.4,
sitemapmobile.xml,http://www.iryou-map.co.jp/s/gallery.php?st=g&sa[]=4,HEAD,200,True,http://www.iryou-map.co.jp/s/gallery.php?st=g&sa[]=4,False,5924,text/html; charset=UTF-8,Apache,PHP/5.2.4,
sitemapmobile.xml,http://www.iryou-map.co.jp/s/gallery.php?st=g&sa[]=41,HEAD,200,True,http://www.iryou-map.co.jp/s/gallery.php?st=g&sa[]=41,False,5566,text/html; charset=UTF-8,Apache,PHP/5.2.4,
sitemapmobile.xml,http://www.iryou-map.co.jp/s/gallery.php?st=g&sa[]=44,HEAD,200,True,http://www.iryou-map.co.jp/s/gallery.php?st=g&sa[]=44,False,5915,text/html; charset=UTF-8,Apache,PHP/5.2.4,
sitemapmobile.xml,http://www.iryou-map.co.jp/s/gallery.php?st=g&sa[]=47,HEAD,200,True,http://www.iryou-map.co.jp/s/gallery.php?st=g&sa[]=47,False,5714,text/html; charset=UTF-8,Apache,PHP/5.2.4,
sitemapmobile.xml,http://www.iryou-map.co.jp/s/gallery.php?st=g&sa[]=5,HEAD,200,True,http://www.iryou-map.co.jp/s/gallery.php?st=g&sa[]=5,False,5907,text/html; charset=UTF-8,Apache,PHP/5.2.4,
sitemapmobile.xml,http://www.iryou-map.co.jp/s/gallery.php?st=g&sa[]=6,HEAD,200,True,http://www.iryou-map.co.jp/s/gallery.php?st=g&sa[]=6,False,5957,text/html; charset=UTF-8,Apache,PHP/5.2.4,
sitemapmobile.xml,http://www.iryou-map.co.jp/s/gallery.php?st=g&sa[]=7,HEAD,200,True,http://www.iryou-map.co.jp/s/gallery.php?st=g&sa[]=7,False,6024,text/html; charset=UTF-8,Apache,PHP/5.2.4,
sitemapmobile.xml,http://www.iryou-map.co.jp/s/gallery.php?st=g&sa[]=8,HEAD,200,True,http://www.iryou-map.co.jp/s/gallery.php?st=g&sa[]=8,False,5947,text/html; charset=UTF-8,Apache,PHP/5.2.4,
sitemapmobile.xml,http://www.iryou-map.co.jp/s/gallery.php?st=g&sa[]=9,HEAD,200,True,http://www.iryou-map.co.jp/s/gallery.php?st=g&sa[]=9,False,5978,text/html; charset=UTF-8,Apache,PHP/5.2.4,
sitemapmobile.xml,http://www.iryou-map.co.jp/s/list.php?st=a&sa[]=1&sk[]=10,HEAD,200,True,http://www.iryou-map.co.jp/s/list.php?st=a&sa[]=1&sk[]=10,False,5589,text/html; charset=UTF-8,Apache,PHP/5.2.4,
sitemapmobile.xml,http://www.iryou-map.co.jp/s/list.php?st=a&sa[]=1&sk[]=11,HEAD,200,True,http://www.iryou-map.co.jp/s/list.php?st=a&sa[]=1&sk[]=11,False,5471,text/html; charset=UTF-8,Apache,PHP/5.2.4,
sitemapmobile.xml,http://www.iryou-map.co.jp/s/list.php?st=a&sa[]=1&sk[]=12,HEAD,200,True,http://www.iryou-map.co.jp/s/list.php?st=a&sa[]=1&sk[]=12,False,5549,text/html; charset=UTF-8,Apache,PHP/5.2.4,
sitemapmobile.xml,http://www.iryou-map.co.jp/s/list.php?st=a&sa[]=1&sk[]=13,HEAD,200,True,http://www.iryou-map.co.jp/s/list.php?st=a&sa[]=1&sk[]=13,False,5949,text/html; charset=UTF-8,Apache,PHP/5.2.4,
sitemapmobile.xml,http://www.iryou-map.co.jp/s/list.php?st=a&sa[]=1&sk[]=14,HEAD,200,True,http://www.iryou-map.co.jp/s/list.php?st=a&sa[]=1&sk[]=14,False,5959,text/html; charset=UTF-8,Apache,PHP/5.2.4,
sitemapmobile.xml,http://www.iryou-map.co.jp/s/list.php?st=a&sa[]=1&sk[]=15,HEAD,200,True,http://www.iryou-map.co.jp/s/list.php?st=a&sa[]=1&sk[]=15,False,6109,text/html; charset=UTF-8,Apache,PHP/5.2.4,
sitemapmobile.xml,http://www.iryou-map.co.jp/s/list.php?st=a&sa[]=1&sk[]=17,HEAD,200,True,http://www.iryou-map.co.jp/s/list.php?st=a&sa[]=1&sk[]=17,False,5942,text/html; charset=UTF-8,Apache,PHP/5.2.4,
sitemapmobile.xml,http://www.iryou-map.co.jp/s/list.php?st=a&sa[]=1&sk[]=18,HEAD,200,True,http://www.iryou-map.co.jp/s/list.php?st=a&sa[]=1&sk[]=18,False,5903,text/html; charset=UTF-8,Apache,PHP/5.2.4,
sitemapmobile.xml,http://www.iryou-map.co.jp/s/list.php?st=a&sa[]=1&sk[]=19&sk[]=23&sk[]=20,HEAD,200,True,http://www.iryou-map.co.jp/s/list.php?st=a&sa[]=1&sk[]=19&sk[]=23&sk[]=20,False,5966,text/html; charset=UTF-8,Apache,PHP/5.2.4,
sitemapmobile.xml,http://www.iryou-map.co.jp/s/list.php?st=a&sa[]=1&sk[]=2,HEAD,200,True,http://www.iryou-map.co.jp/s/list.php?st=a&sa[]=1&sk[]=2,False,5989,text/html; charset=UTF-8,Apache,PHP/5.2.4,
sitemapmobile.xml,http://www.iryou-map.co.jp/s/list.php?st=a&sa[]=1&sk[]=21,HEAD,200,True,http://www.iryou-map.co.jp/s/list.php?st=a&sa[]=1&sk[]=21,False,5873,text/html; charset=UTF-8,Apache,PHP/5.2.4,
sitemapmobile.xml,http://www.iryou-map.co.jp/s/list.php?st=a&sa[]=1&sk[]=22,HEAD,200,True,http://www.iryou-map.co.jp/s/list.php?st=a&sa[]=1&sk[]=22,False,5881,text/html; charset=UTF-8,Apache,PHP/5.2.4,
sitemapmobile.xml,http://www.iryou-map.co.jp/s/list.php?st=a&sa[]=1&sk[]=3,HEAD,200,True,http://www.iryou-map.co.jp/s/list.php?st=a&sa[]=1&sk[]=3,False,5920,text/html; charset=UTF-8,Apache,PHP/5.2.4,
sitemapmobile.xml,http://www.iryou-map.co.jp/s/list.php?st=a&sa[]=1&sk[]=4,HEAD,200,True,http://www.iryou-map.co.jp/s/list.php?st=a&sa[]=1&sk[]=4,False,6044,text/html; charset=UTF-8,Apache,PHP/5.2.4,
sitemapmobile.xml,http://www.iryou-map.co.jp/s/list.php?st=a&sa[]=1&sk[]=5,HEAD,200,True,http://www.iryou-map.co.jp/s/list.php?st=a&sa[]=1&sk[]=5,False,6041,text/html; charset=UTF-8,Apache,PHP/5.2.4,
sitemapmobile.xml,http://www.iryou-map.co.jp/s/list.php?st=a&sa[]=1&sk[]=6,HEAD,200,True,http://www.iryou-map.co.jp/s/list.php?st=a&sa[]=1&sk[]=6,False,6039,text/html; charset=UTF-8,Apache,PHP/5.2.4,
sitemapmobile.xml,http://www.iryou-map.co.jp/s/list.php?st=a&sa[]=1&sk[]=7,HEAD,200,True,http://www.iryou-map.co.jp/s/list.php?st=a&sa[]=1&sk[]=7,False,5901,text/html; charset=UTF-8,Apache,PHP/5.2.4,
sitemapmobile.xml,http://www.iryou-map.co.jp/s/list.php?st=a&sa[]=1&sk[]=8,HEAD,200,True,http://www.iryou-map.co.jp/s/list.php?st=a&sa[]=1&sk[]=8,False,6063,text/html; charset=UTF-8,Apache,PHP/5.2.4,
sitemapmobile.xml,http://www.iryou-map.co.jp/s/list.php?st=a&sa[]=1&sk[]=9,HEAD,200,True,http://www.iryou-map.co.jp/s/list.php?st=a&sa[]=1&sk[]=9,False,6146,text/html; charset=UTF-8,Apache,PHP/5.2.4,
sitemapmobile.xml,http://www.iryou-map.co.jp/s/list.php?st=a&sa[]=10&sk[]=10,HEAD,200,True,http://www.iryou-map.co.jp/s/list.php?st=a&sa[]=10&sk[]=10,False,6007,text/html; charset=UTF-8,Apache,PHP/5.2.4,
